attempt,event_sequence,phase,source_event_exchange_time_ms,current_bid,current_ask,bbo_lookback_ms,recent_bbo_count,last_bbo_change_ms,touch_stability_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,last_direction,status
2,2245,pre_open_orders_public_gate,1784189417001,64097.0,64098.0,750,1,1784189416735,266,1,0,0,0,down,pass
2,2245,post_open_orders_pre_submit_gate,1784189417001,64095.0,64096.0,750,1,1784189416735,266,1,0,0,0,down,pass
2,2247,pre_open_orders_public_gate,1784189418147,64095.0,64096.0,750,1,1784189417797,350,0,0,1,0,flat,pass
2,2247,post_open_orders_pre_submit_gate,1784189418147,64090.0,64091.0,750,1,1784189417797,350,0,0,1,0,flat,pass
2,2249,pre_open_orders_public_gate,1784189418616,64090.0,64091.0,750,1,1784189418348,268,1,0,0,0,down,pass
2,2249,post_open_orders_pre_submit_gate,1784189418616,64089.0,64090.0,750,1,1784189418348,268,1,0,0,0,down,pass
2,2267,pre_open_orders_public_gate,1784189424126,64075.0,64076.0,750,1,1784189423725,401,1,0,0,0,down,block
2,2276,pre_open_orders_public_gate,1784189425695,64074.0,64075.0,750,1,1784189425345,350,0,0,1,0,flat,pass
2,2276,post_open_orders_pre_submit_gate,1784189425695,64063.0,64064.0,750,1,1784189425345,350,0,0,1,0,flat,pass
2,2396,pre_open_orders_public_gate,1784189447580,64010.0,64011.0,750,2,1784189447027,553,0,0,2,0,flat,pass
2,2396,post_open_orders_pre_submit_gate,1784189447580,64010.0,64011.0,750,2,1784189447027,553,0,0,2,0,flat,pass
2,2504,pre_open_orders_public_gate,1784189465906,64062.0,64063.0,750,2,1784189465364,542,0,0,2,0,flat,pass
2,2504,post_open_orders_pre_submit_gate,1784189465906,64061.0,64062.0,750,2,1784189465364,542,0,0,2,0,flat,pass
2,2507,pre_open_orders_public_gate,1784189466786,64061.0,64062.0,750,1,1784189466457,329,1,0,0,0,down,block
2,2558,pre_open_orders_public_gate,1784189478650,64058.0,64059.0,750,1,1784189478352,298,0,0,1,0,flat,pass
2,2558,post_open_orders_pre_submit_gate,1784189478650,64051.0,64052.0,750,1,1784189478352,298,0,0,1,0,flat,pass
2,2591,pre_open_orders_public_gate,1784189483522,64070.0,64071.0,750,1,1784189483184,338,1,0,0,0,down,pass
2,2591,post_open_orders_pre_submit_gate,1784189483522,64062.0,64063.0,750,1,1784189483184,338,1,0,0,0,down,pass
2,2614,pre_open_orders_public_gate,1784189488130,64068.0,64069.0,750,2,1784189487517,613,0,0,2,0,flat,pass
2,2614,post_open_orders_pre_submit_gate,1784189488130,64062.0,64063.0,750,2,1784189487517,613,0,0,2,0,flat,pass
2,2723,pre_open_orders_public_gate,1784189516256,64090.0,64091.0,750,1,1784189515785,471,0,0,1,0,flat,pass
2,2723,post_open_orders_pre_submit_gate,1784189516256,64087.0,64088.0,750,1,1784189515785,471,0,0,1,0,flat,pass
2,2747,pre_open_orders_public_gate,1784189522716,64088.0,64089.0,750,1,1784189522234,482,1,0,0,0,down,pass
2,2747,post_open_orders_pre_submit_gate,1784189522716,64084.0,64085.0,750,1,1784189522234,482,1,0,0,0,down,pass
2,2750,pre_open_orders_public_gate,1784189523141,64084.0,64085.0,750,1,1784189522799,342,1,0,0,0,down,pass
2,2750,post_open_orders_pre_submit_gate,1784189523141,64080.0,64081.0,750,1,1784189522799,342,1,0,0,0,down,pass
2,2761,pre_open_orders_public_gate,1784189525387,64080.0,64081.0,750,1,1784189524977,410,0,0,1,0,flat,pass
2,2761,post_open_orders_pre_submit_gate,1784189525387,64076.0,64077.0,750,1,1784189524977,410,0,0,1,0,flat,pass
2,2885,pre_open_orders_public_gate,1784189551467,64065.0,64066.0,750,2,1784189550928,539,0,1,1,0,flat,pass
2,2885,post_open_orders_pre_submit_gate,1784189551467,64059.0,64060.0,750,2,1784189550928,539,0,1,1,0,flat,pass
2,2890,pre_open_orders_public_gate,1784189552937,64059.0,64060.0,750,1,1784189552530,407,0,0,1,0,flat,pass
2,2890,post_open_orders_pre_submit_gate,1784189552937,64057.0,64058.0,750,1,1784189552530,407,0,0,1,0,flat,pass
2,2940,pre_open_orders_public_gate,1784189566094,64050.0,64051.0,750,2,1784189565425,669,0,0,2,0,flat,pass
2,2940,post_open_orders_pre_submit_gate,1784189566094,64046.0,64047.0,750,2,1784189565425,669,0,0,2,0,flat,pass
2,2973,pre_open_orders_public_gate,1784189574205,64039.0,64040.0,750,2,1784189573470,735,0,0,2,0,flat,pass
2,2973,post_open_orders_pre_submit_gate,1784189574205,64035.0,64036.0,750,2,1784189573470,735,0,0,2,0,flat,pass
2,3242,pre_open_orders_public_gate,1784189632181,63992.0,63997.0,750,1,1784189631777,404,1,0,0,0,down,block
2,3243,pre_open_orders_public_gate,1784189632255,63992.0,63997.0,750,1,1784189631777,478,1,0,0,0,down,block
2,3305,pre_open_orders_public_gate,1784189646095,63981.0,63982.0,750,1,1784189645805,290,0,0,0,1,mixed,pass
2,3305,post_open_orders_pre_submit_gate,1784189646095,63968.0,63969.0,750,1,1784189645805,290,0,0,0,1,mixed,pass
2,3335,pre_open_orders_public_gate,1784189650931,63965.0,63966.0,750,1,1784189650589,342,1,0,0,0,down,block
2,3336,pre_open_orders_public_gate,1784189651089,63965.0,63966.0,750,1,1784189650589,500,1,0,0,0,down,block
2,3389,pre_open_orders_public_gate,1784189663345,63968.0,63969.0,750,1,1784189663079,266,1,0,0,0,down,block
2,3441,pre_open_orders_public_gate,1784189674242,63962.0,63965.0,750,1,1784189673851,391,1,0,0,0,down,block
2,3449,pre_open_orders_public_gate,1784189676601,63956.0,63957.0,750,2,1784189675981,620,0,0,2,0,flat,pass
2,3449,post_open_orders_pre_submit_gate,1784189676601,63951.0,63952.0,750,2,1784189675981,620,0,0,2,0,flat,pass
2,3662,pre_open_orders_public_gate,1784189723662,63938.0,63939.0,750,2,1784189723109,553,0,1,1,0,flat,pass
2,3662,post_open_orders_pre_submit_gate,1784189723662,63937.0,63938.0,750,2,1784189723109,553,0,1,1,0,flat,pass
2,3666,pre_open_orders_public_gate,1784189725040,63936.0,63937.0,750,1,1784189724775,265,1,0,0,0,down,block
