schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1437,563503977113286,1787423227664423247,1787423227423,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1438,563504511511029,1787423228198822818,1787423227958,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1439,563505049043886,1787423228736355042,1787423228493,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1440,563505628856176,1787423229316166929,1787423229020,1244.9,1245.0,1244.95
skhynix_c6in_latency_v2,0822T002,1441,563506128706432,1787423229816017158,1787423229569,1244.9,1245.0,1244.95
skhynix_c6in_latency_v2,0822T002,1442,563506838721318,1787423230526033088,1787423230106,1244.9,1245.0,1244.95
skhynix_c6in_latency_v2,0822T002,1443,563507219354964,1787423230906666047,1787423230641,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1444,563507736278344,1787423231423588530,1787423231175,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1445,563508265598379,1787423231952909170,1787423231712,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1446,563508841004250,1787423232528315296,1787423232247,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1447,563509354833050,1787423233042143908,1787423232800,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1448,563509895970722,1787423233583281505,1787423233349,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1449,563510424617946,1787423234111928859,1787423233879,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1450,563510975007850,1787423234662319817,1787423234408,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1451,563511501449577,1787423235188760588,1787423234926,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1452,563512054613674,1787423235741924906,1787423235480,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1453,563512626864284,1787423236314174860,1787423236016,1244.8,1245.0,1244.9
skhynix_c6in_latency_v2,0822T002,1454,563513107740853,1787423236795052851,1787423236556,1244.8,1245.0,1244.9
