schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1339,591215194868480,1787450938882180093,1787450938621,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1340,591215744682908,1787450939431994640,1787450939168,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1341,591216281417822,1787450939968728815,1787450939704,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1342,591216797140847,1787450940484452717,1787450940230,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1343,591217322250516,1787450941009561513,1787450940732,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1344,591217802456172,1787450941489767980,1787450941261,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1345,591218374898372,1787450942062209616,1787450941796,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1346,591218994676773,1787450942681987711,1787450942342,1251.2,1251.3,1251.25
skhynix_c6in_latency_v2,0822T002,1347,591219446607314,1787450943133918509,1787450942881,1251.2,1251.3,1251.25
skhynix_c6in_latency_v2,0822T002,1348,591219983061972,1787450943670374435,1787450943417,1251.2,1251.3,1251.25
skhynix_c6in_latency_v2,0822T002,1349,591220537640125,1787450944224951772,1787450943951,1251.2,1251.3,1251.25
skhynix_c6in_latency_v2,0822T002,1350,591221089092890,1787450944776403732,1787450944498,1251.2,1251.3,1251.25
skhynix_c6in_latency_v2,0822T002,1351,591221692583024,1787450945379894389,1787450945004,1251.2,1251.3,1251.25
skhynix_c6in_latency_v2,0822T002,1352,591222146736074,1787450945834048290,1787450945567,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1353,591222682670049,1787450946369982180,1787450946098,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1354,591223216494196,1787450946903805724,1787450946660,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1355,591224016365702,1787450947703677841,1787450947197,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1356,591224347362542,1787450948034674453,1787450947728,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1357,591224848285077,1787450948535595682,1787450948276,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1358,591225440844710,1787450949128157198,1787450948835,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1359,591225919862178,1787450949607173106,1787450949353,1251.3,1251.4,1251.35
